src_city,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
new norfolk,New Norfolk,0.0,AU,1600403487.0,46.0,-42.78,147.06,63.0,3.0
pudozh,Pudozh,96.0,RU,1600403489.0,87.0,61.81,36.53,41.86,12.3
east london,East London,18.0,ZA,1600403490.0,82.0,-33.02,27.91,55.4,4.7
yellowknife,Yellowknife,40.0,CA,1600403409.0,75.0,62.46,-114.35,44.6,8.05
punta arenas,Punta Arenas,31.0,CL,1600403492.0,89.0,-53.15,-70.92,32.0,28.86
tasiilaq,Tasiilaq,100.0,GL,1600403494.0,86.0,65.61,-37.64,39.2,5.82
bluff,Bluff,100.0,NZ,1600403495.0,82.0,-46.6,168.33,48.99,20.0
saskylakh,Saskylakh,0.0,RU,1600403496.0,54.0,71.92,114.08,59.49,12.77
busselton,Busselton,54.0,AU,1600403498.0,36.0,-33.65,115.33,68.0,13.42
half moon bay,Half Moon Bay,90.0,US,1600403269.0,93.0,37.46,-122.43,66.99,3.36
rikitea,Rikitea,8.0,PF,1600403500.0,81.0,-23.12,-134.97,72.16,22.44
port alfred,Port Alfred,0.0,ZA,1600403254.0,77.0,-33.59,26.89,56.46,8.7
coracora,Coracora,0.0,PE,1600403502.0,61.0,-15.03,-73.78,41.41,0.67
husavik,Husavik,75.0,IS,1600403503.0,53.0,66.04,-17.34,51.8,18.34
carnarvon,Carnarvon,0.0,AU,1600403505.0,20.0,-24.87,113.63,84.2,12.75
yining,Yining,98.0,CN,1600403506.0,78.0,29.04,114.56,68.83,3.71
san policarpo,San Policarpo,100.0,PH,1600403507.0,64.0,12.18,125.51,83.82,4.03
plouzane,Plouzané,72.0,FR,1600403509.0,77.0,48.38,-4.62,59.0,14.99
gorontalo,Gorontalo,72.0,ID,1600403510.0,68.0,0.54,123.06,82.83,2.84
fortuna,Fortuna,75.0,US,1600403511.0,93.0,40.6,-124.16,64.99,3.91
ngunguru,Ngunguru,75.0,NZ,1600403512.0,3.0,-35.62,174.5,59.0,14.0
cape town,Cape Town,6.0,ZA,1600403295.0,93.0,-33.93,18.42,46.99,2.24
picos,Picos,0.0,BR,1600403279.0,39.0,-7.08,-41.47,73.81,3.33
pangody,Pangody,100.0,RU,1600403516.0,89.0,65.85,74.49,48.18,7.49
saint george,Saint George,1.0,US,1600403517.0,10.0,37.1,-113.58,82.4,0.4
alor setar,Alor Star,40.0,MY,1600403518.0,94.0,6.12,100.36,78.8,2.24
yulara,Yulara,0.0,AU,1600403519.0,28.0,-25.24,130.99,71.6,13.87
honiara,Honiara,75.0,SB,1600403521.0,74.0,-9.43,159.95,84.2,10.29
sukabumi,Sukabumi,65.0,ID,1600403522.0,43.0,-6.92,106.93,95.0,1.01
kapaa,Kapaa,40.0,US,1600403523.0,65.0,22.08,-159.32,82.4,14.99
victoria,Hong Kong,98.0,HK,1600403365.0,82.0,22.29,114.16,87.01,1.99
albany,Albany,100.0,US,1600403445.0,94.0,42.6,-73.97,57.99,1.99
vostok,Vostok,24.0,RU,1600403527.0,89.0,46.49,135.88,57.76,4.47
mitsamiouli,Mitsamiouli,20.0,KM,1600403528.0,78.0,-11.38,43.28,71.6,3.36
ushuaia,Ushuaia,90.0,AR,1600403529.0,92.0,-54.8,-68.3,30.2,27.51
tuatapere,Tuatapere,100.0,NZ,1600403531.0,82.0,-46.13,167.68,48.99,20.0
mangrol,Māngrol,97.0,IN,1600403532.0,76.0,21.12,70.12,84.0,10.94
waspan,Waspán,14.0,NI,1600403533.0,93.0,14.74,-83.97,75.69,2.93
nikolskoye,Nikolskoye,90.0,RU,1600403535.0,87.0,59.7,30.79,44.6,17.9
merauke,Merauke,96.0,ID,1600403537.0,75.0,-8.47,140.33,83.8,20.45
avarua,Avarua,90.0,CK,1600403432.0,73.0,-21.21,-159.78,73.4,11.41
ballina,Ballina,90.0,AU,1600403539.0,69.0,-28.87,153.57,75.2,12.75
boulder,Boulder,1.0,US,1600403295.0,39.0,40.08,-105.35,68.0,5.82
benjamin aceval,Benjamín Aceval,0.0,PY,1600403541.0,100.0,-24.97,-57.57,59.0,1.1
atuona,Atuona,19.0,PF,1600403542.0,76.0,-9.8,-139.03,78.04,20.24
sitka,Sitka,75.0,US,1600403544.0,76.0,57.05,-135.33,53.6,1.23
port lincoln,Port Lincoln,55.0,AU,1600403545.0,70.0,-34.73,135.87,67.73,17.85
hasaki,Hasaki,75.0,JP,1600403278.0,62.0,35.73,140.83,91.0,19.46
sistranda,Sistranda,75.0,NO,1600403547.0,93.0,63.73,8.83,55.4,29.97
hoima,Hoima,40.0,UG,1600403549.0,93.0,1.44,31.34,67.39,0.51
molepolole,Molepolole,0.0,BW,1600403550.0,82.0,-24.41,25.5,62.6,6.93
chaihe,Chaihe,91.0,CN,1600403552.0,81.0,44.77,129.7,57.76,9.26
kavieng,Kavieng,88.0,PG,1600403553.0,74.0,-2.57,150.8,84.02,8.25
moissala,Moïssala,100.0,TD,1600403554.0,94.0,8.34,17.77,71.4,2.62
hobart,Hobart,20.0,AU,1600403441.0,50.0,-42.88,147.33,63.0,12.75
basco,Basco,19.0,PH,1600403557.0,80.0,20.45,121.97,84.79,15.14
khatanga,Khatanga,80.0,RU,1600403558.0,46.0,71.97,102.5,60.17,18.48
havre-saint-pierre,Havre-St-Pierre,1.0,CA,1600403559.0,92.0,50.23,-63.6,30.2,3.36
